ID,Station Name,Network Line,District,ITL Region,Eastings (m),Northings (m),Entries and Exits (April 2021 - March 2022),No of Interchanges (April 2021 - March 2022),National Ranking (April 2021 - March 2022)
BLE,Bramley (West Yorkshire),Bradford - Manchester Line,Leeds,TLE4,424006,434397,195548,0,1160
NPD,New Pudsey,Bradford - Manchester Line,Leeds,TLE4,421156,434316,401868,0,769
BDI,Bradford Interchange,Bradford - Manchester Line,Bradford,TLE4,416619,432738,1762388,88951,215
LMR,Low Moor,Bradford - Manchester Line,Bradford,TLE4,416428,428227,151712,0,1280
HFX,Halifax,Bradford - Manchester Line,Calderdale,TLE4,409758,424950,1165010,49706,326
SOW,Sowerby Bridge,Bradford - Manchester Line,Calderdale,TLE4,406245,423500,273896,0,957
MYT,Mytholmroyd,Bradford - Manchester Line,Calderdale,TLE4,401309,425853,135562,0,1353
HBD,Hebden Bridge,Bradford - Manchester Line,Calderdale,TLE4,399508,426812,569720,26139,610
TOD,Todmorden,Bradford - Manchester Line,Calderdale,TLE4,393517,424167,431194,0,735
WDN,Walsden,Bradford - Manchester Line,Calderdale,TLE4,393184,422232,64848,0,1731
COT,Cottingley,Leeds - Manchester,Leeds,TLE4,427269,430266,51756,0,1837
MLY,Morley,Leeds - Manchester,Leeds,TLE4,427035,428223,285882,0,929
BTL,Batley,Leeds - Manchester,Kirklees,TLE4,424984,423791,240882,0,1030
DEW,Dewsbury,Leeds - Manchester,Kirklees,TLE4,424300,421780,1061344,0,351
RVN,Ravensthorpe,Leeds - Manchester,Kirklees,TLE4,422851,419963,31784,0,2028
MIR,Mirfield,Leeds - Manchester,Kirklees,TLE4,420362,419498,323316,24263,871
DHN,Deighton,Leeds - Manchester,Kirklees,TLE4,416458,419122,51318,0,1844
HUD,Huddersfield,Leeds - Manchester,Kirklees,TLE4,414330,416932,3041816,377905,106
SWT,Slaithwaite,Leeds - Manchester,Kirklees,TLE4,407978,414176,186006,0,1178
MSN,Marsden (Yorks),Leeds - Manchester,Kirklees,TLE4,404685,411861,138036,0,1344
BGH,Brighouse,Leeds - Manchester,Calderdale,TLE4,414702,422428,287364,0,925
LCK,Lockwood,Huddersfield - Barnsley,Kirklees,TLE4,413270,415375,32398,0,2020
BBW,Berry Brow,Huddersfield - Barnsley,Kirklees,TLE4,413760,413851,21828,0,2138
HOY,Honley,Huddersfield - Barnsley,Kirklees,TLE4,414597,412432,34516,0,1999
BHS,Brockholes,Huddersfield - Barnsley,Kirklees,TLE4,415335,411185,31306,0,2033
SSM,Stocksmoor,Huddersfield - Barnsley,Kirklees,TLE4,418420,410874,19480,0,2161
SPY,Shepley,Huddersfield - Barnsley,Kirklees,TLE4,419638,410283,52358,0,1833
DBD,Denby Dale,Huddersfield - Barnsley,Kirklees,TLE4,422414,408490,119116,0,1428
LDS,Leeds,Leeds - Skipton ,Leeds,TLE4,429869,433216,19263472,1797861,11
KLF,Kirkstall Forge,Leeds - Skipton ,Leeds,TLE4,424661,436616,171986,0,1218
APY,Apperley Bridge,Leeds - Skipton ,Bradford,TLE4,419383,438472,263090,0,986
SHY,Shipley (Yorks),Leeds - Skipton ,Bradford,TLE4,415003,437509,1004806,269880,365
FZH,Frizinghall,Leeds - Skipton ,Bradford,TLE4,415305,436035,340982,0,847
BDQ,Bradford Forster Square,Leeds - Skipton ,Bradford,TLE4,416353,433487,1301266,27144,286
SAE,Saltaire,Leeds - Skipton ,Bradford,TLE4,413885,438049,547320,0,622
BIY,Bingley,Leeds - Skipton ,Bradford,TLE4,410815,439172,806822,0,460
CFL,Crossflatts,Leeds - Skipton ,Bradford,TLE4,410314,440257,317100,0,879
KEI,Keighley,Leeds - Skipton ,Bradford,TLE4,406625,441285,1150000,681,332
SON,Steeton and Silsden,Leeds - Skipton ,Bradford,TLE4,403730,444875,445330,0,720
CEY,Cononley,Leeds - Skipton ,Craven,TLE2,399312,446808,126036,0,1396
SKI,Skipton,Leeds - Skipton ,Craven,TLE2,398424,451362,943886,6321,395
BLD,Baildon,Leeds - Iikley ,Bradford,TLE4,416304,439365,206774,0,1125
GSY,Guiseley,Leeds - Iikley ,Leeds,TLE4,418836,442238,710682,0,515
MNN,Menston,Leeds - Iikley ,Bradford,TLE4,417484,444054,440956,0,729
BUW,Burley-In-Wharfedale,Leeds - Iikley ,Bradford,TLE4,416308,445795,376438,0,805
BEY,Ben Rhydding,Leeds - Iikley ,Bradford,TLE4,413398,447754,145386,0,1314
ILK,Ilkley,Leeds - Iikley ,Bradford,TLE4,411849,447643,936760,0,400
BUY,Burley Park,Leeds - Harrogate,Leeds,TLE4,427900,435165,512696,0,650
HDY,Headingley,Leeds - Harrogate,Leeds,TLE4,426793,435830,280308,0,943
HRS,Horsforth,Leeds - Harrogate,Leeds,TLE4,424429,439112,560662,958,616
WET,Weeton,Leeds - Harrogate,Harrogate,TLE2,427596,447543,53158,0,1824
PNL,Pannal,Leeds - Harrogate,Harrogate,TLE2,430754,451469,94800,0,1547
HBP,Hornbeam Park,Leeds - Harrogate,Harrogate,TLE2,431081,453912,264288,0,982
CRG,Cross Gates,Leeds - York,Leeds,TLE4,436280,434444,311984,0,886
GRF,Garforth,Leeds - York,Leeds,TLE4,440786,433543,344700,0,840
EGF,East Garforth,Leeds - York,Leeds,TLE4,441508,433060,114280,0,1450
MIK,Micklefield,Leeds - York,Leeds,TLE4,444450,432712,141758,1563,1330
